time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track
1464134400,445,450.51,442.5,449.09,,0,0,0,0,0,0,0,0,446.61496929367473
1464220800,449.09,454.8,446.01,453.95,,0,0,0,0,0,0,1,0,446.61496929367473
1464307200,453.58,482.31,453.58,472.01,,0,0,0,0,0,0,1,0,446.61496929367473
1464393600,472.01,543,471,526.02,,0,0,0,0,0,0,1,0,447.1439516269851
1464480000,527,570,512.11,531,,0,0,0,0,1,0,1,0,450.33381385699795
1464566400,529.97,548.5,521.11,532.89,,0,0,0,0,0,0,1,0,458.9001908065158
1464652800,533.14,546.5,518,530.69,,0,0,0,1,0,0,1,0,466.8768362724585
1464739200,530.69,546.12,523.75,536.79,,0,0,0,0,0,0,1,0,474.6449655755186
1464825600,536.91,544,532.37,538.8,,0,0,0,0,0,0,1,0,481.7733027337943
1464912000,538.9,579.94,535.65,570.87,,0,0,0,0,1,0,1,0,491.6729357633727
1464998400,570.82,593.89,560.1,572.87,,0,0,0,0,0,0,1,0,500.69483178966465
1465084800,573.08,586.47,564.64,574.02,,0,0,0,0,0,0,1,0,508.84207270192405
1465171200,574.01,588.6,573.93,585.34,,0,0,0,0,1,0,1,0,517.3418424017102
1465257600,585.59,592.08,561.3,576.88,,0,0,0,0,0,0,1,0,523.9571932459646
1465344000,577.23,585.15,570.62,583.05,,0,0,0,0,0,0,1,0,530.5230606630796
1465430400,583.26,584.05,569.97,575.52,,0,0,0,0,0,0,1,0,535.5227205894041
1465516800,575.52,582.43,572.5,580.09,,0,0,0,0,0,0,1,0,540.4746405239148
1465603200,580.08,615,579.29,614.51,,0,0,0,0,0,0,1,0,548.7007915768131
1465689600,614.51,685,601.34,672,,0,0,0,0,0,0,1,0,562.4007036238338
1465776000,671.98,719,658,705.87,,0,0,0,0,1,0,1,0,578.3417365545189
1465862400,705.87,705.88,656.51,684.5,,0,0,0,1,0,0,1,0,590.1370991595724
1465948800,684.5,699.4,667.89,696.99,,0,0,0,0,0,0,1,0,602.0096436973977
